;A;B;C;D;E;F;G;H;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240
Brasil;8,1;8,2;8,2;8,414285714;8,4;8,4;8,5;8,5;8,5;8,4;8,4;8,5;8,5;8,5;8,7;7;6,9;6,7;6,7;6,6;6,6;6,5;6,3;6,3;6,2;6,1;6,1;5,9;5,9;5,8;98,1;97,2;93,8;91,1;92,7;92,2;90,9;88;90,3;87,9;89,6;91,6;83,5;82;81,8;74,9;73,7;74;75,2;75,4;76,7;77,1;78,1;76,6;77,3;74,5;75,1;74;72,5;70,8;113,7;112,2;111,2;110,7;109,6;109,8;108,4;108;106,6;105,5;105,7;104,7;103,7;104,6;102,8;23;22,2;22,7;22,6;22,1;24;24;24,2;22,5;22,8;20;19;17,7;16,2;15,1;5;4,9;5;5,2;5,2;5;5,2;5,3;5,4;5,4;5,6;5,7;6,2;6,5;6,4;54,9;54,8;53,3;54,9;56;54,4;53,5;56,9;55,5;55,7;55,5;57,8;58,3;57,4;57,7;20,4;19,6;18,6;17,7;16,8;16;15,3;14,9;14,4;14,1;13,3;14;13,4;13,1;15,82857143;13,6;13,2;12,7;12,1;11,5;11,1;10,6;10,3;9,9;9,8;9,4;9,6;9,5;9,1;10,88571429;17,25454545;17,25454545;17,25454545;20,4;20;18,9;17,8;16,9;16,5;16,3;15,8;16,4;15,6;15,2;17,25454545;6;5,5;4,2;3,9;3,3;2,8;2,2;2,3;2,3;2;1,9;2,1;2,2;2,2;2,2;9,5;9,5;9;8,6;8,8;7,8;8,5;8,3;8,4;7,7;7,3;7,8;8;7,9;7,8;74,7;77,2;77;68,1;72,4;68,9;61,8;59,3;62,1;63,8;62;64,4;64,5;59,1;57,9;71,9;72,3;72,6;73;73,3;73,6;73,9;74,2;74,5;74,8;75;75,2;75,5;75,7;75,9;2;1,9;1,9;1,9;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,8;1,7;1,7;1,7
